,author,year,title,climate-damage,weather-damage,climate-change,weather-change,mitigation-damage,climate-threat,adaptation-threat,adaptation-conflict,vader_zscore,big-small-ratio,climate-conflict,bio-loss
32,fu etal,2009,co2 emission.txt,-1,-1,-0.5,-1,-0.724137931,-0.015384615,1,-0.142857143,-1.646466882,-0.538461538,0.98245614,-1
33,ranjan,2013,Economic.txt,0.431818182,,0,-1,-0.405405405,0.696202532,1,0.538461538,0.106230637,-1,0.97029703,-0.647058824
34,buyadgie etal,2015,Solar low.txt,0.802469136,-1,,,0.043478261,0.792592593,,1,0.543323147,-0.333333333,0.84,-0.833333333
35,mukherijee,2012,Estimation.txt,-0.117647059,-1,-0.384615385,-1,-0.466666667,0.38028169,1,0.741935484,-0.384511961,-0.333333333,1,-1
36,sun,2019,Investigation.txt,0.666666667,0.555555556,0.128205128,-0.416666667,-0.448275862,-0.771428571,0.6,0.428571429,-0.359398653,-1,0.405405405,-0.684210526
37,zhangetal,2012,Gascleaning.txt,0.489361702,,0.142857143,-1,-0.436619718,0.636363636,0.333333333,0.448275862,2.174394131,-0.888888889,0.870967742,-0.972972973
38,Bozonnet etal,2013,urban fluxes.txt,0.532228361,-1,0.333333333,-1,0.070422535,0.436363636,0.333333333,0.333333333,-0.530262302,-0.866666667,0.928057554,-0.783783784
39,georges,2013,Design.txt,0.391304348,,0.2,-1,0.411764706,0.428571429,1,0.902439024,,-0.333333333,0.835294118,-0.4
40,knez etal,2014,A sustainable transport.txt,-0.127272727,-1,1,,0.449606862,0.528784648,1,0.708411215,-0.9661816,-0.769230769,0.972899729,-0.102473498
41,Laseinde and Ramere,2018,vertical support.txt,0.8125,0.333333333,0.661016949,-0.111111111,0.790893761,0.914893617,0.941176471,0.915966387,-0.087917554,-0.888888889,0.904761905,0.421052632
42,Kim etal,2009,cooling effect and potable water.txt,0.830508475,0,0.5,0,0.52,0.581395349,1,-0.04,1.546235718,-0.818181818,0.8,-0.4
43,Amanda Sabo,2016,impacts and response.txt,0.083756345,-1,0.176470588,-1,0.64,0.842105263,0.946524064,0.555555556,,-0.333333333,0.943925234,0.4
44,harikrishnan,2011,Effect of.txt,0.50660793,-1,-0.826086957,-1,0.294117647,0.987096774,0.724137931,0.333333333,-1.191578987,-1,0.955555556,0.62962963
45,iwaro etal,2014,An integrated approac.txt,0.023255814,-1,0.730769231,-1,0.483870968,0.797468354,0.916666667,0.8,-0.070578494,-1,0.925465839,-0.571428571
46,hegazy,2020,Toward efficient energy con.txt,0.392405063,,-1,-1,-0.047619048,0.975308642,,0.857142857,-0.75990063,-1,0.25,0.47826087
47,Fan etal,2017,intermittent supply.txt,0.747126437,,0,-1,-0.026315789,0.857142857,0.6,0.555555556,-0.345909651,-1,0.913978495,-0.583333333
48,varga,2010,Comparison.txt,0.376623377,,-1,-1,-0.130434783,0.958823529,1,0.875,0.412108255,-0.818181818,1,0.64
49,jiang etal,2013, Design and performan.txt,0.940594059,0.333333333,-0.428571429,-0.428571429,0.255813953,0.940540541,1,0.75,-0.186405745,-1,0.866666667,0.323076923
50,Mohammad etal,2020,wind farm.txt,0.495145631,0.333333333,0.2,0.5,0.166666667,0.776119403,1,0.777777778,-1.221768441,-1,0.619047619,-0.703703704
51,ghalamchi,2016,Evolving.txt,0.745762712,-0.384615385,0.295454545,-0.771428571,0.117647059,0.870967742,0.75,0.9,-0.450796833,-1,0.910614525,0.222222222
52,sawant,2011,Performance.txt,0.743589744,0.5,0.888888889,0.875,0.705882353,0.969465649,,0.818181818,0.357304128,-0.333333333,0.89380531,0.428571429
53,veselov,2010,Impact.txt,-0.111111111,1,1,1,0.484662577,0.740112994,1,0.643564356,1.441546788,-0.652173913,0.928571429,-0.021276596
54,inyang,2020,Reactive.txt,-0.736111111,0.5,0.625,-0.6,-0.03030303,0.780487805,0.733333333,-0.189189189,-0.091392972,-1,0.333333333,-0.684210526
55,bouaid etal,2012,Optimization.txt,-0.186440678,-0.777777778,0.333333333,-0.5,-0.333333333,0.81420765,-0.25,0.272727273,-1.10659297,-0.692307692,0.777777778,-0.393939394
56,huang etal,2020,Comparative investig.txt,0.745454545,-1,-0.166666667,-1,0.407407407,0.984126984,1,0.833333333,0.134824385,-1,0.833333333,-0.111111111
57,goshayeshi and chaer,2016,Comparison.txt,0.631578947,-1,1,,0.066666667,0.91509434,0,0.666666667,-0.783043678,-1,-0.090909091,-0.058823529
58,yan etal,2020,energy.txt,0.583333333,,-0.857142857,-1,-0.083333333,0.880239521,1,-0.166666667,-0.961677186,-1,0.948717949,-0.111111111
59,yandri,2018,Uniformity.txt,0.083333333,,,,0.238095238,0.917159763,1,-0.2,-1.593816709,-0.818181818,0.850746269,-0.655172414
60,sandhu,2011,Investigations.txt,0.096153846,,-0.666666667,-1,-0.692307692,0.879396985,1,-0.142857143,-1.863202445,-0.777777778,0.962441315,-0.146067416
61,jareemit and canyookt,2020,Residential.txt,0.536945813,-1,0.466666667,-1,-0.438202247,0.215686275,0.428571429,-0.619047619,-0.41304566,0.090909091,0.2,-0.533333333
62,ayou etal,2013,Analysis.txt,0.689655172,,-1,-1,-0.118644068,0.333333333,1,0.076923077,0.393302756,0.333333333,-0.333333333,-0.625
63,kan etal,2010,Exergoeconomic performance.txt,0.679012346,-1,-0.692307692,-1,0.347826087,0.884615385,0.764705882,0.272727273,1.117977549,-1,0.88,-0.090909091
64,Bottarelli etal,2017,tile covering.txt,0.746938776,,-1,-1,-0.6,0.78313253,-1,0.75,0.007407125,-1,0.166666667,-0.6
65,Zhang etal,2016,indoor air thermal.txt,0.844262295,-1,0.6,-1,-0.571428571,0.949367089,-1,1,-1.413428138,-1,0.517241379,-0.6875
66,hui and ma,2016,Analysis of environmental.txt,-0.256410256,-0.333333333,-0.15942029,-0.951219512,0,0.95412844,0.739130435,0.333333333,-1.508238692,-1,0.988764045,0.066666667
67,wuetal,2018,Indoor.txt,1,-0.2,-0.625,-0.733333333,0.090909091,0.333333333,1,0.304347826,0.151153091,-1,0.976047904,-0.294117647
68,Karlessi etal,2013,thermo.txt,-0.01,1,0.5,0.333333333,0.046153846,0.947194719,1,0.538461538,-0.13786833,-0.882352941,0.928571429,0.426086957
69,sahu,2017,parametric.txt,0.324840764,1,0,0.333333333,-0.181818182,0.927125506,0.333333333,0.6,-1.02847742,-1,0.933333333,-0.230769231
70,zhou,2020,Cross.txt,-0.375,0.25,0.503957784,-0.898989899,-0.103448276,0.789473684,0.943661972,0.333333333,0.585902818,0.777777778,0.666666667,-0.2
71,kong,2020,Optimal.txt,0.604395604,,-0.375,-1,0.25,0.945454545,1,0.076923077,0.540870316,-1,0.972222222,-0.5
72,zhou,2012,Research.txt,0.830508475,,0.647058824,-1,0.225806452,0.866666667,1,0.692307692,1.277502722,,1,0.217391304
73,zishang,2012,Assessment.txt,0.508379888,,1,,0.64516129,0.828571429,1,0.692307692,0.055782187,-0.714285714,0.87755102,-0.111111111
74,alqahtani,2020,Building enve.txt,0.696202532,-1,0.481481481,-1,0.085714286,0.756097561,0.666666667,0.916666667,0.617031661,1,0.771428571,-0.294117647
75,ikedi etal,2016,Numerical asse.txt,0.344827586,-1,0.315789474,-1,-0.272727273,0.6,0.538461538,-1,0.236577245,-0.833333333,-0.142857143,-1
76,aaditya,2012,Climate responsive.txt,0.530769231,-1,0.035714286,-1,0.375,0.75,0.80952381,0.833333333,0.682288076,0.142857143,0.882352941,-0.333333333
77,gordeeva etal,2012,Composites.txt,0.776223776,1,0.762711864,-0.75,0.272727273,0.941176471,1,0,-0.929146177,-1,0.971291866,-0.333333333
78,riffat,2011,Areview.txt,0.712887439,-1,0.863636364,-1,-0.235294118,0.993150685,0.411764706,0.428571429,0.181744057,-1,0.333333333,-0.538461538
79,Mudie etal,2013,comercial kitchen.txt,0.258064516,1,0.333333333,0,-0.428571429,0.846153846,1,-0.142857143,-0.457640629,-0.666666667,0.964705882,-0.357142857
80,jahnke etal,2013,First cycle simulations of t.txt,0.605095541,,0.375,-1,-0.448275862,0.511111111,1,0.142857143,-0.061227218,-1,0.7,-1
81,gao etal,2018,Comparis.txt,0.927492447,,0.5,-1,0,0.870967742,0.5,0.578947368,1.997940062,-0.913043478,0.908396947,-1
82,ouelhazi,2020,Parametric.txt,0.476635514,-0.555555556,0.318181818,-0.578947368,0.545454545,0.878787879,0.473684211,0.076923077,-0.116447535,-1,1,-1
83,saad,2019,Numerical.txt,-0.652173913,-1,-0.714285714,-1,-0.333333333,0.931034483,0.8,0.75,-0.380153195,-1,0.764705882,-0.3125
84,bensebaa etal,2016,potential application for solar thermal absorber.txt,-0.111111111,1,1,1,0.085714286,0.925233645,0,0.769230769,-0.579318942,-0.714285714,0.978021978,-0.4
85,ferron etal,2011,custom.txt,0.585585586,-1,-0.2,-1,-0.641025641,0.555555556,1,0.333333333,-0.365916642,-1,0.986970684,-0.818181818
86,haghighi and maerefat,2014,Design.txt,0.645051195,-1,-0.6,-1,0.290322581,0.960784314,0.666666667,0.75,-0.409064223,-1,1,0.294117647
87,alqahtani,2019,The effect.txt,0.510204082,,-0.2,-1,0.205020921,0.845238095,0.945945946,0.824817518,0.172279841,-0.857142857,1,0.642857143
88,busato etal,2013,Multisource.txt,0.804195804,,0.2,-1,-0.288888889,0.912698413,1,-0.5,-0.038310184,-0.75,0.987096774,0.326086957
89,chen etal,2016,Modeling.txt,0.814977974,-1,1,,0.826086957,0.764705882,-0.333333333,0.714285714,0.185857467,-0.333333333,0.824561404,0.333333333
90,hundt and reddy,2011,Algal biodiesel product.txt,-0.103448276,,-1,-1,0.263157895,0.881481481,1,-0.666666667,-0.712868561,-0.925925926,-0.06122449,0.428571429
91,shang etal,2016,Hybrid hydrogen.txt,-0.085714286,,0.142857143,-1,0.052631579,0.962962963,,0.538461538,0.163602835,-1,0.714285714,0.230769231
92,ghazali,2017,Feasibilit.txt,-0.357142857,,-0.111111111,-1,0.333333333,0.949152542,1,1,0.03070181,-0.733333333,0.907692308,0.090909091
93,ji etal,2014,Approach of a solar buil.txt,0.930348259,-1,0.111111111,-1,0.066666667,0.933774834,1,0.5,-0.780533316,-0.666666667,0.936507937,0.647058824
94,Lee etal,2017,Cooling combinations.txt,0.906976744,,,,0.555555556,0.971830986,,0.333333333,-1.25685152,-1,0.975903614,0.272727273
95,Song,2020,coal dust.txt,0.291666667,0.333333333,1,1,-0.285714286,0.176470588,0.2,0.388888889,-0.633925978,-1,0.993846154,-0.032258065
96,kumar etal,2019,A review status on alternativ.txt,0.136986301,1,-0.076923077,-0.555555556,0.636363636,0.4,1,0.777777778,-0.087379809,-1,0.933333333,0
97,kalogirus,2013,Building integration.txt,0.445544554,,-0.333333333,-1,0.426229508,0.219512195,1,0.72972973,0.856059043,-1,0.931034483,-0.538461538
98,avgerinos etal,2016,Experimental stu.txt,0.614035088,-0.8,0.315789474,-0.925925926,0.340206186,0.703703704,0.5,0.666666667,0.415230601,-0.625,0.57904007,-0.03030303
99,Fan etal,2018,cooling load prediction.txt,0.694915254,0.666666667,-1,0.111111111,-0.344827586,0.435897436,,0.769230769,0.396723507,-0.885714286,0.857142857,-1
100,meng etal,2010,Multiobjective analyses.txt,0.718309859,-1,-0.166666667,-1,-0.090909091,0.891891892,-0.733333333,-1,0.163199369,-1,-0.565217391,-1
101,ali ahmadi,2016,Modeling solubility of carb.txt,0.132075472,-0.904761905,0.306122449,-0.888888889,0.161290323,0.904255319,0.181818182,1,-0.499028617,-0.714285714,0.981651376,-0.060606061
102,nwanya,2011,Climatechange.txt,-0.048780488,-0.125,0.616161616,-0.461538462,0.533333333,0.923076923,0.333333333,0.942857143,-0.739100931,-0.75,0.363636364,0.571428571
103,Allison,2014,thermal energy storage.txt,0.668874172,1,0.333333333,0,0.254901961,0.912663755,1,1,1.087456103,-0.419354839,0.6,0.44
104,zhu,2016,Performance.txt,0.797979798,-0.375,-0.106382979,-0.677419355,0.666666667,0.9,1,,0.317426342,-1,1,-1
105,bottarelli,2012,Numerical.txt,0.793103448,,-0.2,-1,-0.294117647,0.706666667,1,0.333333333,0.626491555,-1,0.945205479,-0.947368421
106,shao etal,2015,Wireless Energy.txt,-0.660377358,,-0.333333333,-1,0.170731707,0.865853659,0,0.6,0.520668853,-0.909090909,1,0.581395349
107,shattat,2012,Water.txt,0.705426357,,0,-1,-0.333333333,0.896551724,,0.555555556,2.288863078,-1,0.97260274,-0.818181818
108,sabitha,2011,global.txt,-0.044585987,,-0.4,-1,-0.333333333,0.967741935,,-0.142857143,-0.761720053,-0.6,0.904109589,-1
109,almosawi,2020,Synergistic effect of.txt,-0.225806452,,1,,0,0.916666667,1,-0.565217391,-1.062777141,-1,0.846153846,-0.083333333
110,chen etal,2012,Thermodynamic.txt,0.115384615,1,0.25,-0.5,0.265306122,0.892720307,,0.473684211,-0.371826874,0.545454545,0.882352941,0.297297297
111,pilpola,2019,Energy.txt,0.594339623,1,0.666666667,0.777777778,0.454545455,0.950207469,1,,-0.098558106,-1,0.463414634,0.491525424
112,woo etal,2009,The performance.txt,-0.481481481,,-0.6,-1,0,0.908396947,,0.829787234,0.999616863,-1,0.991769547,-0.857142857
113,wang,2017,Microstructure.txt,0.137614679,-0.777777778,0.886075949,-0.8,0.151515152,0.619047619,0.619047619,0.428571429,0.061877166,-0.916666667,-0.076923077,-1
114,redpath,2014,evacuated.txt,0.711340206,-0.5,0.142857143,-0.5,0.6,0.951807229,0.666666667,1,0.878203574,-0.058823529,0.787234043,0.714285714
115,jian yao,2012,Effect.txt,0.779411765,,0.2,-1,-0.363636364,0.892857143,1,1,-0.337390603,-0.833333333,0.963636364,-0.857142857
116,alm,2020,Quantum chemica.txt,-0.20754717,-1,0.125,-1,-0.473684211,0.896373057,0,0.272727273,-0.029603737,-0.923076923,0.979381443,-1
117,gurler etal,2018,Experimental investigation.txt,0.608510638,-1,-0.692307692,-1,0.1875,0.913043478,0.555555556,0.6,-0.93255324,-0.857142857,0.963636364,0.709677419
118,zeng,2012,Problems.txt,0.726618705,0.5,0.545454545,-0.25,-0.371428571,0.851851852,1,-0.25,-0.073449025,-1,0.969230769,-0.363636364
119,zhao,2014,Calculations.txt,-0.3,-1,0.333333333,-1,-0.217391304,0.941176471,-0.111111111,0.6,-0.094444064,-1,0.888372093,-0.8
120,cuce and riffat,2016,A comprehensive assessment of sectoral energy.txt,0.03125,,-0.333333333,-1,-0.384615385,0.771428571,,0,-0.863754246,1,0.790697674,0.545454545
121,ONG,2016,Reviewofsolar.txt,0.858695652,0,0.12,-0.833333333,-0.225806452,0.947643979,1,0.6,0.192874282,-0.84,0.885245902,0.586206897
122,alayietal,2020,Energy.txt,0.583333333,,0.8,-1,-0.043478261,0.950310559,1,0.818181818,1.836049701,-0.733333333,0.80952381,0.404255319
123,oyieke,2018,Interfacial.txt,0.834196891,,-0.333333333,-1,0.071428571,0.953125,1,1,-0.823864418,-1,0.981220657,0.111111111
124,varo,2013,Design.txt,0.258064516,,-0.878787879,-1,0.142857143,0.853403141,1,0.96,-0.324074256,-0.9,0.636363636,0.266666667
125,wood etal,2010,residential building.txt,0.51627907,1,0.304347826,-0.777777778,0.183673469,0.866666667,1,0.733333333,0.46968248,-1,0.91025641,0.181818182
126,chow,2012,The potential.txt,0.514492754,1,-0.666666667,-0.666666667,-0.047619048,0.960687961,1,0.368421053,0.257890396,-0.529411765,0.921875,0.015873016
127,bottarelli etal,2020,Solar gain.txt,0.731343284,1,0,-0.5,0.066666667,0.943396226,1,0.692307692,0.070845356,-1,0.971428571,0.375
128,rao,2012,Thermodynamic.txt,0.869565217,-1,0.428571429,-1,-0.32,0.5,1,0.727272727,-0.947772892,-1,0.984615385,-1
129,Zhang,2020,reconfigurable equilibrium.txt,-1,-1,0.142857143,-1,-0.545454545,0.913793103,0.92,0.714285714,0.496981216,0.4,0.965517241,-1
130,teixeira,2010,Temperature.txt,0.30952381,,,,0.020408163,0.831775701,,0.375,1.041468884,-1,0.852941176,-0.096774194
131,shusheng,2020,lattice.txt,-0.743243243,-1,0.727272727,-1,0.25,0.878787879,1,0.466666667,,-1,0.860465116,-0.692307692
132,Baljit etal,2020,performance study.txt,0.736211031,0.333333333,0.5,0.714285714,0.4,0.937106918,1,1,-0.237528549,-0.857142857,0.968503937,0.454545455
133,petra etal,2010,advanced zero emission plant.txt,-0.106796117,,0.333333333,-1,0.139318885,0.265306122,1,0.466666667,0.818459348,-1,0.846153846,-0.69924812
134,jradi,2014,Micro scale ORC based.txt,0.769230769,,,,0.247706422,0.432835821,,0.636363636,2.380985335,-1,0.818181818,-0.714285714
135,farikhah,2020, The effect.txt,0.55,-1,-0.142857143,-1,0.190082645,0.415730337,1,0.185185185,0.593171339,0,-1,-0.210526316
136,michelle,2013,A preliminary.txt,0.77443609,-1,-1,-1,-0.529411765,1,1,0.714285714,0.001754042,-1,0.989583333,0.225806452
137,Zurigat,2007,Typical.txt,0.859375,-1,-0.043478261,-1,-0.066666667,0.918367347,0.428571429,0.272727273,-0.373932287,-1,0.918367347,0.615384615
138,alwetaishi,2019,Sustainable ap.txt,0.291925466,-0.428571429,-0.4,-0.75,-0.463414634,0.90990991,0.6,1,-0.952412606,-1,0.942857143,-0.636363636
139,kiyota etal,2013,Analysis of greenhouse gase.txt,-0.586206897,-1,0.037037037,-1,0.076923077,0.566666667,-0.692307692,0.483870968,0.031481435,-0.866666667,0.75,0.411764706
140,madvar etal,2018,Analysis.txt,-0.28358209,-0.538461538,0.534883721,-0.538461538,0.142857143,0.907692308,0.416666667,0.4,0.805701219,-1,0.988304094,-0.04
141,cho etal,2014,Energy.txt,0.868131868,,,,0,0.956521739,1,-1,,-0.391304348,1,-0.142857143
142,mohamed,2011,Exploring.txt,-0.272727273,-1,-1,-1,-0.672131148,0.672727273,0.111111111,0.625,0.096503361,-1,0.952941176,0.294117647
143,alkhalidi,2020, Do green buildings.txt,0.528571429,,-0.714285714,-1,-0.1875,0.034482759,1,0.384615385,-0.24399089,-1,0.444444444,-0.939393939
144,paine,2018,Evaluating.txt,0.422222222,,0.25,-1,-0.129032258,0.813333333,0,0.571428571,-0.049910361,-1,0.936507937,-0.692307692
145,Yolanda,2020,determining.txt,-0.142857143,,,,0.657142857,0.75,0,0.333333333,-0.186094015,-0.333333333,0.090909091,0.304347826
146,aydin etal,2015,Numerical analysis of solar.txt,0.74301676,-1,-0.333333333,-1,,,-1,,0.293235078,,0.214285714,
147,Tham etal,2009,clear sky radiation data.txt,0.871794872,0.2,-0.333333333,-0.806451613,0.448979592,0.626373626,0.6,0.904761905,0.663711392,-1,0.984126984,-0.130434783
148,xiang,2015,Optimization.txt,0.823529412,-1,-0.4,-1,-0.303030303,-0.52,1,0.631578947,0.005258451,-0.142857143,0.918367347,0.111111111
149,tao etal,2009,congregation.txt,0.25,-1,-0.538461538,-1,0.378378378,0.968660969,0.636363636,0.890909091,0.160243543,-0.8,0,0.805309735
150,guohui gan,2013,Dynami.txt,0.682373473,1,-1,-0.5,-0.407407407,-0.736842105,0.6,0.225806452,-1.502889759,-1,1,-0.925925926
151,rossi,2012,Ethanol.txt,0.727272727,1,-0.2,-0.764705882,0.25,0.955882353,0.5,0.75,-0.949868764,-0.333333333,0.6,0.611111111
152,liao and wang,2012,Performance based lo.txt,0.295081967,-1,,,0.259259259,0.819277108,0.882352941,0,-1.127378786,-0.2,0.917808219,-0.527272727
153,fang etal,2012,Characterization.txt,0.7,-1,0.571428571,-1,0,0.960526316,0.8,0.857142857,-0.194438557,-1,0.952,0.058823529
154,Sun,2020,water shed water pollution.txt,0.557251908,-1,-0.142857143,-1,0,0.865079365,1,0.333333333,-0.219026443,-0.75,0.977777778,0.020408163
155,Michel Gueldry,2018,Climate.txt,-0.132075472,-1,-0.090909091,-1,-0.393939394,0.835616438,0.692307692,0.090909091,-0.107915738,-1,0.995209581,-0.666666667
156,fhazali etal,2017,Feasibility.txt,-0.146341463,-1,0.473684211,-1,-0.263157895,0.895652174,1,0,-0.356922807,-0.818181818,0.904761905,-0.857142857
157,altan etal,2019,An experimental study roof.txt,0.5390625,,0.304347826,-1,0.518518519,0.746478873,1,0.8,-0.755183781,0.5,0.9375,-0.024390244
158,Santana,2020,wind glazing.txt,0.394957983,-1,-0.75,-1,0.230769231,0.913043478,-0.5,0.4,-0.610528897,-1,1,-0.393939394
159,sun,2014,Existing.txt,0.6,-1,-1,-1,0.294117647,0.821782178,,0.733333333,0.775568508,-0.333333333,0.76,-0.818181818
160,ebhota,2018,The place.txt,-0.178571429,,-0.833333333,-1,0.166666667,0.860465116,0,1,0.131857532,,0.957446809,0.058823529
161,Prabhakant etal,2009,evaluation.txt,-0.1,,0.25,-1,0.384615385,0.983870968,1,1,-0.686362114,-1,,0.428571429
162,alamier,2020, Synthesi.txt,0.148148148,-0.692307692,0,0,-0.466666667,0.80952381,0.6,-1,-0.837864649,-1,-0.609756098,-1
163,cuce and cuce,2013,Optimization.txt,0.585798817,,-0.6,-1,0.035714286,-0.142857143,1,0.739130435,1.64525453,-0.142857143,0.99103139,-0.818181818
164,feng etal,2010,steady,0.710144928,-0.5,-0.529411765,-0.857142857,-0.772727273,0.972413793,0.76,-1,-0.230319404,-0.714285714,0.913043478,-1
165,Amanda,2016,Water Sensitive Planning Practices.txt,0.375921376,-1,1,,-0.538461538,0.983050847,1,-1,0.047239133,-0.333333333,-0.454545455,-1
166,avgerinos,2016,Effect.txt,0.605095541,-1,0.6,-1,0.263157895,0.86407767,,-0.2,-0.502834029,-1,0.96031746,-0.853658537
167,mempouo,2010,Cod.txt,0.441860465,0,0.120879121,-0.904761905,0.151515152,0.674418605,0.655172414,0.058823529,1.817799169,-0.714285714,0.942857143,-0.666666667
168,rezaei,2018,Applying.txt,0.611111111,-1,-1,-1,-0.777777778,0.466666667,1,-0.666666667,-0.854266155,0.4,0.948051948,-1
169,zhaoetal,2009,Dynamic performance.txt,0.966292135,,1,,0,0.953216374,1,0.454545455,-0.209867701,-0.777777778,0.968586387,-0.4
170,wangetal,2020,Sound.txt,-0.452054795,-1,-1,-1,0.163636364,0.830508475,1,0.714285714,-0.287181421,-1,1,-0.882352941
171,ahmadi,2016,Applying.txt,0.064935065,,-0.6,-1,-0.029411765,-0.833333333,,0.666666667,-1.185586994,-1,0.984962406,-1
172,wang etal,2020,Study on.txt,0.873754153,1,0.714285714,0.666666667,0.379310345,0.905660377,0.75,1,-1.403091067,-1,0.944186047,-0.6
