,author,year,title,blob,vader,afinn,blob_zscore,vader_zscore,afinn_zscore,blob_zscore_outliers,vader_zscore_outliers,afinn_zscore_outliers,co2,co2_growth_prct,co2_growth_abs,co2_per_capita,cumulative_co2,coal_co2,coal_co2_per_capita,cumulative_coal_co2
30,alm,2020,Quantum chemica.txt,0.031263275,0.023324468,0.019828156,0.503327061,-0.952543454,0.190041761,0.503327061,-0.952543454,0.190041761,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
31,almosawi,2020,Synergistic effect of.txt,0.04979448,0.029782262,0.014534191,1.796654004,-0.760790591,-0.171597125,1.796654004,-0.760790591,-0.171597125,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
32,almutairi etal,2011,Cycling durability studies.txt,0.033580301,-4.53E-05,0.008642766,0.665036549,-1.646466882,-0.574049457,0.665036549,-1.646466882,-0.574049457,31607.042,-1.44,-462.402,4.599,1307890.377,13067.147,1.901,627754.514
33,alqahtani,2019,The effect.txt,0.01226623,0.058981534,0.035268584,-0.822511786,0.106230637,1.244801139,-0.822511786,0.106230637,1.244801139,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
34,alqahtani,2020,Building enve.txt,0.019273986,0.0737018,0.016442451,-0.333427549,0.543323147,-0.041240926,-0.333427549,0.543323147,-0.041240926,35496.406,-0.11,-38.037,4.81,1516990.078,14718.203,1.994,716280.251
35,alsallal,2010,Daylighting and visual performance.txt,0.037869553,0.042454457,0.023426323,0.964391352,-0.384511961,0.435838107,0.964391352,-0.384511961,0.435838107,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
36,alsallal,2018,Daylighting performan.txt,0.044408449,0.043300215,0.016840417,1.420752974,-0.359398653,-0.014055285,1.420752974,-0.359398653,-0.014055285,36702.503,0.15,56.363,4.758,1661716.918,14573.219,1.889,774385.946
37,altan etal,2019,An experimental study roof.txt,0.061930399,0.128632504,0.047683693,2.643642164,2.174394131,2.092896312,,2.174394131,2.092896312,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
38,alwetaishi,2019,Sustainable ap.txt,0.020299933,0.037545922,0.024748322,-0.261824803,-0.530262302,0.52614588,-0.261824803,-0.530262302,0.52614588,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
39,alyousef and varnham,2010,Saudi Arabia.txt,0.041633246,0.177469427,0.031798766,1.227066388,3.624520975,1.007772547,1.227066388,,1.007772547,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
40,Amanda Sabo,2016,impacts and response.txt,0.020349494,0.022865167,0.007841498,-0.258365863,-0.9661816,-0.628785252,-0.258365863,-0.9661816,-0.628785252,35534.443,0.71,251.418,4.871,1481493.672,15062.902,2.065,701562.049
41,Amanda,2016,Water Sensitive Planning Practices.txt,0.030375124,0.052443071,0.03250774,0.44134131,-0.087917554,1.056203646,0.44134131,-0.087917554,1.056203646,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
42,amhadi and assaf,2019,Assessment.txt,0.035238111,0.107477579,0.054249127,0.780738192,1.546235718,2.541391234,0.780738192,1.546235718,,31607.042,-1.44,-462.402,4.599,1307890.377,13067.147,1.901,627754.514
43,An etal,2014,Efficiency of household.txt,0.026665863,0.230969061,0.022189033,0.182465154,5.213098856,0.351316936,0.182465154,,0.351316936,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
44,ana etal,2010,Performance simulation.txt,0.007886749,0.015274303,0.004211926,-1.128163817,-1.191578987,-0.876726904,-1.128163817,-1.191578987,-0.876726904,34468.451,3.37,1125.151,4.895,1375702.128,14781.225,2.099,656506.57
45,ana etal,2019,Energy assessment.txt,0.017741042,0.053027011,0.019892173,-0.440414531,-0.070578494,0.19441488,-0.440414531,-0.070578494,0.19441488,35534.443,0.71,251.418,4.871,1481493.672,15062.902,2.065,701562.049
46,Andrea and Francis,2020,tropical climate.txt,0.00455843,0.029812233,0.010639441,-1.360453331,-0.75990063,-0.437653484,-1.360453331,-0.75990063,-0.437653484,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
47,anestopoulou etal,2016,On the development.txt,0.011345997,0.043754493,0.015118454,-0.886736545,-0.345909651,-0.131685236,-0.886736545,-0.345909651,-0.131685236,35925.738,1.33,473.278,4.76,1588368.275,14453.702,1.915,745094.581
48,angrisani etal,2013,the influence of cooling air.txt,0.024381977,0.069282786,0.021020093,0.023068541,0.412108255,0.271464794,0.023068541,0.412108255,0.271464794,33343.3,5.49,1736.258,4.793,1341233.677,13970.832,2.008,641725.345
49,annadurai etal,2018,Experimental.txt,0.012746287,0.049126217,0.025177173,-0.789007688,-0.186405745,0.555441321,-0.789007688,-0.186405745,0.555441321,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
50,Aprea etal,2012,exergy an.txt,0.030237799,0.014257592,-0.005418633,0.431757176,-1.221768441,-1.534605239,0.431757176,-1.221768441,-1.534605239,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
51,Arif etal,2012,exergy analysis.txt,0.028926082,0.040222135,0.005072709,0.340210011,-0.450796833,-0.817925533,0.340210011,-0.450796833,-0.817925533,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
52,arslan,2013,Characterization.txt,0.019872626,0.067437109,0.025137112,-0.291647366,0.357304128,0.55270468,-0.291647366,0.357304128,0.55270468,34468.451,3.37,1125.151,4.895,1375702.128,14781.225,2.099,656506.57
53,ascione etal,2016,Design.txt,0.03571877,0.103951898,0.031579724,0.814284205,1.441546788,0.992809453,0.814284205,1.441546788,0.992809453,33343.3,5.49,1736.258,4.793,1341233.677,13970.832,2.008,641725.345
54,ashley,2016,direct absorbing.txt,0.011118306,0.052326027,0.008130081,-0.902627494,-0.091392972,-0.609071716,-0.902627494,-0.091392972,-0.609071716,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
55,Ashouri etal,2015,organic rankine cycle.txt,0.016902888,0.018136436,0.004293116,-0.498910868,-1.10659297,-0.871180704,-0.498910868,-1.10659297,-0.871180704,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
56,assad,2020,Renewable.txt,0.012729264,0.059944505,0.010517217,-0.790195734,0.134824385,-0.446002836,-0.790195734,0.134824385,-0.446002836,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
57,auid etal,2013,Organic Rankine cycles.txt,0.025417985,0.029032829,0.009016672,0.095373461,-0.783043678,-0.548507318,0.095373461,-0.783043678,-0.548507318,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
58,avgerinos ,2013,Computational study.txt,0.038281604,0.023016865,0.011019284,0.993149167,-0.961677186,-0.411705852,0.993149167,-0.961677186,-0.411705852,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
59,avgerinos etal,2016,Experimental stu.txt,0.035543368,0.001727866,-0.003630423,0.802042629,-1.593816709,-1.412449852,0.802042629,-1.593816709,-1.412449852,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
60,avgerinos,2016,Effect.txt,0.016352882,-0.007344423,0,-0.537296783,-1.863202445,-1.164450076,-0.537296783,-1.863202445,-1.164450076,34468.451,3.37,1125.151,4.895,1375702.128,14781.225,2.099,656506.57
61,awogbemi etal,2019,Comparative stud.txt,0.005109069,0.041493508,-0.001616934,-1.322023201,-0.41304566,-1.274905305,-1.322023201,-0.41304566,-1.274905305,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
62,awogbemi etal,2020,Optimization of FAME.txt,0.004392076,0.06864946,0.028867947,-1.372063513,0.393302756,0.807563794,-1.372063513,0.393302756,0.807563794,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
63,aydin etal,2015,Numerical analysis of solar.txt,0.036226103,0.093054833,0.028213789,0.84969191,1.117977549,0.762877251,0.84969191,1.117977549,0.762877251,33343.3,5.49,1736.258,4.793,1341233.677,13970.832,2.008,641725.345
64,ayou etal,2013,Analysis.txt,0.02581078,0.055653386,0.026979983,0.122787348,0.007407125,0.678594038,0.122787348,0.007407125,0.678594038,35925.738,1.33,473.278,4.76,1588368.275,14453.702,1.915,745094.581
65,Azad,2008,Split heat pipe heat.txt,0.006142275,0.007802936,0.019308357,-1.249913862,-1.413428138,0.154533517,-1.249913862,-1.413428138,0.154533517,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
66,azad,2012,heat pipe heat exchanger.txt,0.022610197,0.004609936,0.009042197,-0.100587271,-1.508238692,-0.546763695,-0.100587271,-1.508238692,-0.546763695,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
67,baitule and sudhakar,2017,Solar powered green campus.txt,0.025708145,0.060494419,0.004046535,0.115624234,0.151153091,-0.888025035,0.115624234,0.151153091,-0.888025035,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
68,Baljit etal,2020,performance study.txt,0.008553711,0.050760845,0.011626667,-1.081615334,-0.13786833,-0.370214591,-1.081615334,-0.13786833,-0.370214591,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
69,bANSAL,2009,evaporative cooling.txt,0.006688523,0.020767187,0.0082038,-1.211790211,-1.02847742,-0.604035902,-1.211790211,-1.02847742,-0.604035902,35925.738,1.33,473.278,4.76,1588368.275,14453.702,1.915,745094.581
70,baral,2020,Mathematical.txt,0.031140982,0.075135785,0.011772853,0.494792,0.585902818,-0.360228365,0.494792,0.585902818,-0.360228365,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
71,baral,2020,Thermodynamic and financial.txt,0.032793217,0.073619195,0.015780055,0.610104528,0.540870316,-0.086490223,0.610104528,0.540870316,-0.086490223,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
72,bardineh etal,2018,Medical.txt,0.020559458,0.098427273,0.014902808,-0.243712124,1.277502722,-0.146416352,-0.243712124,1.277502722,-0.146416352,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
73,Barnwal etal,2008,thermal greenhouse dryer.txt,0.002189461,0.057282547,0.012397784,-1.525788075,0.055782187,-0.317538364,-1.525788075,0.055782187,-0.317538364,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
74,Barros etal,2013,land use.txt,0.018237758,0.076184133,0.033151184,-0.40574783,0.617031661,1.100158298,-0.40574783,0.617031661,1.100158298,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
75,bensebaa etal,2016,potential application for solar thermal absorber.txt,0.025121821,0.063371307,0.022845575,0.074703662,0.236577245,0.396166328,0.074703662,0.236577245,0.396166328,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
76,bert,2011,fuel cells.txt,0.031123597,0.078381818,0.042883549,0.49357863,0.682288076,1.764991123,0.49357863,0.682288076,1.764991123,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
77,bhattacharyya etal,2010,adiabatic capillary tube in a transcritical CO2 system.txt,0.017751824,0.024112434,0.009553159,-0.439662047,-0.929146177,-0.511859109,-0.439662047,-0.929146177,-0.511859109,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
78,Bi etal,2009,Ecological.txt,0.03266018,0.061524652,-0.001275104,0.600819611,0.181744057,-1.251554365,0.600819611,0.181744057,-1.251554365,34468.451,3.37,1125.151,4.895,1375702.128,14781.225,2.099,656506.57
79,Birnie etal,2013,effective air purification.txt,0.048102127,0.039991652,0.021444201,1.678541544,-0.457640629,0.300436303,1.678541544,-0.457640629,0.300436303,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
80,Boncini etal,2008,Double Light Pipe.txt,0.060869739,0.05334194,0.023221526,2.569616705,-0.061227218,0.421848086,,-0.061227218,0.421848086,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
81,Bottarelli etal,2017,tile covering.txt,0.032009213,0.122689938,0.035651666,0.555387404,1.997940062,1.270970051,0.555387404,1.997940062,1.270970051,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
82,bottarelli etal,2020,Solar gain.txt,0.022039807,0.051482248,0.016129032,-0.140395836,-0.116447535,-0.062651071,-0.140395836,-0.116447535,-0.062651071,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
83,bottarelli,2012,Numerical.txt,0.020527095,0.04260125,0.017241379,-0.245970771,-0.380153195,0.013335067,-0.245970771,-0.380153195,0.013335067,36702.503,0.15,56.363,4.758,1661716.918,14573.219,1.889,774385.946
84,bottarelli,2019,Testing of a dualsource heat pump.txt,0.020629351,0.035893808,0.015752515,-0.238834135,-0.579318942,-0.088371564,-0.238834135,-0.579318942,-0.088371564,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
85,bouaid etal,2012,Optimization.txt,0.025105601,0.043080704,0.020193861,0.073571606,-0.365916642,0.215023638,0.073571606,-0.365916642,0.215023638,34468.451,3.37,1125.151,4.895,1375702.128,14781.225,2.099,656506.57
86,Boukhanouf etal,2013,generation s.txt,0.02637255,0.041627593,0.009006816,0.161994338,-0.409064223,-0.549180622,0.161994338,-0.409064223,-0.549180622,35534.443,0.71,251.418,4.871,1481493.672,15062.902,2.065,701562.049
87,Bozonnet etal,2013,urban fluxes.txt,0.025190145,0.061205919,0.021181619,0.079472106,0.172279841,0.282498919,0.079472106,0.172279841,0.282498919,36702.503,0.15,56.363,4.758,1661716.918,14573.219,1.889,774385.946
88,Budania etal,2013,solar absorption.txt,0.03184574,0.054113733,-0.00713051,0.543978368,-0.038310184,-1.651546179,0.543978368,-0.038310184,-1.651546179,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
89,burhan etal,2018,Energy distribution.txt,0.02490896,0.061663182,0.010989011,0.059847651,0.185857467,-0.413773831,0.059847651,0.185857467,-0.413773831,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
90,Busato etal,2008,cogeneration modules.txt,0.021247453,0.031396165,0.005525687,-0.19569568,-0.712868561,-0.786981898,-0.19569568,-0.712868561,-0.786981898,34468.451,3.37,1125.151,4.895,1375702.128,14781.225,2.099,656506.57
91,busato etal,2012,Energy and economic.txt,0.015498701,0.060913697,0.019650655,-0.596911642,0.163602835,0.177916397,-0.596911642,0.163602835,0.177916397,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
92,busato etal,2013,Multisource.txt,0.034427772,0.056437898,0.017649502,0.724183078,0.03070181,0.041214533,0.724183078,0.03070181,0.041214533,35925.738,1.33,473.278,4.76,1588368.275,14453.702,1.915,745094.581
93,buyadgie etal,2015,Solar low.txt,0.022223786,0.029117372,0.007676561,-0.127555549,-0.780533316,-0.640052392,-0.127555549,-0.780533316,-0.640052392,35534.443,0.71,251.418,4.871,1481493.672,15062.902,2.065,701562.049
94,buyagbie etal,2012,Conceptual design.txt,0.010735345,0.013076075,0.011656144,-0.929355048,-1.25685152,-0.368200965,-0.929355048,-1.25685152,-0.368200965,35925.738,1.33,473.278,4.76,1588368.275,14453.702,1.915,745094.581
95,bwapwa etal,2019,Jet fuel.txt,0.023618838,0.034054769,0.019334753,-0.030192344,-0.633925978,0.156336671,-0.030192344,-0.633925978,0.156336671,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
96,cai and yan,2018,The plannin.txt,0.031678075,0.052461181,0.020532877,0.532276698,-0.087379809,0.238182341,0.532276698,-0.087379809,0.238182341,36702.503,0.15,56.363,4.758,1661716.918,14573.219,1.889,774385.946
97,Chamchine etal,2013,integrated assesment.txt,0.034960057,0.084234023,0.028726877,0.761332257,0.856059043,0.797927085,0.761332257,0.856059043,0.797927085,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
98,Chandiwala,2009,Sustainable Homes in the UK.txt,0.027390701,0.069387939,0.028461098,0.233052939,0.415230601,0.779771337,0.233052939,0.415230601,0.779771337,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
99,chen and li,2020,A state of art meth.txt,0.023973478,0.068764663,0.02085734,-0.005441347,0.396723507,0.260346932,-0.005441347,0.396723507,0.260346932,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
100,Chen etal,2008,constructional entransy.txt,0.003972769,0.060900109,0.005351171,-1.401327675,0.163199369,-0.798903383,-1.401327675,0.163199369,-0.798903383,33343.3,5.49,1736.258,4.793,1341233.677,13970.832,2.008,641725.345
101,chen etal,2009,Research on ground coupled heat.txt,0.022786403,0.0385978,0.008137432,-0.088289508,-0.499028617,-0.608569565,-0.088289508,-0.499028617,-0.608569565,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
102,chen etal,2010,An experimentaL.txt,0.010662778,0.030512719,0.011761823,-0.934419639,-0.739100931,-0.360981848,-0.934419639,-0.739100931,-0.360981848,34468.451,3.37,1125.151,4.895,1375702.128,14781.225,2.099,656506.57
103,chen etal,2010,Development of photovoltaic thermal.txt,0.023742248,0.092026942,0.023900982,-0.02157929,1.087456103,0.468262747,-0.02157929,1.087456103,0.468262747,35534.443,0.71,251.418,4.871,1481493.672,15062.902,2.065,701562.049
104,chen etal,2012,Constructal.txt,0.023938556,0.066094118,0.014619883,-0.007878594,0.317426342,-0.165743376,-0.007878594,0.317426342,-0.165743376,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
105,chen etal,2012,Internal.txt,0.015661463,0.07650272,0.013127413,-0.5855522,0.626491555,-0.267696291,-0.5855522,0.626491555,-0.267696291,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
106,chen etal,2012,lessons learnt from an operating analysis.txt,0.02165055,0.072938856,0.010528835,-0.167562749,0.520668853,-0.445209185,-0.167562749,0.520668853,-0.445209185,35496.406,-0.11,-38.037,4.81,1516990.078,14718.203,1.994,716280.251
107,chen etal,2012,Optimal expansion.txt,0.032671743,0.132487554,0.007378836,0.60162664,2.288863078,-0.660390427,0.60162664,2.288863078,-0.660390427,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
108,chen etal,2012,Thermodynamic.txt,0.009596267,0.029750959,-0.02242407,-1.008853383,-0.761720053,-2.69627282,-1.008853383,-0.761720053,,34468.451,3.37,1125.151,4.895,1375702.128,14781.225,2.099,656506.57
109,chen etal,2016,Modeling.txt,0.007494368,0.019612052,0.008508627,-1.155548779,-1.062777141,-0.58321269,-1.155548779,-1.062777141,-0.58321269,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
110,chen etal,2016,Theoretical.txt,0.024069972,0.042881661,0.015036475,0.001293174,-0.371826874,-0.137285364,0.001293174,-0.371826874,-0.137285364,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
111,chen etal,2018,Performance.txt,0.006854132,0.052084722,0.013265798,-1.200232087,-0.098558106,-0.258242983,-1.200232087,-0.098558106,-0.258242983,36702.503,0.15,56.363,4.758,1661716.918,14573.219,1.889,774385.946
112,chen,2018,Study on energy.txt,0.039058251,0.089068719,0.048311445,1.047352791,0.999616863,2.135779026,1.047352791,0.999616863,2.135779026,31607.042,-1.44,-462.402,4.599,1307890.377,13067.147,1.901,627754.514
113,chien,2014,Assessment.txt,0.024560662,0.057487812,0.018136693,0.035539277,0.061877166,0.07449535,0.035539277,0.061877166,0.07449535,35925.738,1.33,473.278,4.76,1588368.275,14453.702,1.915,745094.581
114,cho etal,2014,Energy.txt,0.016534327,0.0849798,0.030729533,-0.524633384,0.878203574,0.934731608,-0.524633384,0.878203574,0.934731608,35534.443,0.71,251.418,4.871,1481493.672,15062.902,2.065,701562.049
115,chong,2013,Comparing.txt,0.004450984,0.044041395,0.01505801,-1.367952181,-0.337390603,-0.135814224,-1.367952181,-0.337390603,-0.135814224,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
116,chow,2012,The potential.txt,0.02766687,0.054406946,0.013676589,0.252327273,-0.029603737,-0.23018125,0.252327273,-0.029603737,-0.23018125,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
117,Christian etal,2009,predictingdomestic.txt,0.014603711,0.023997692,-0.003222558,-0.659374672,-0.93255324,-1.384587964,-0.659374672,-0.93255324,-1.384587964,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
